WJSpecID,Scientific,ScientificGenus,English,help1,help2,EnglishGenus,2010 IUCN Red List category,Taxo,BLFamilyLatin,BLFamilyEnglish,FamSequID,IOCOrder
163,Penelope ochrogaster,Penelope,Chestnut-bellied Guan,17,#VALUE!,Guan,VU,BL3,Cracidae,Guans and curassows,8,GALLIFORMES
164,Penelope jacucaca,Penelope,White-browed Guan,13,#VALUE!,Guan,VU,BL3,Cracidae,Guans and curassows,8,GALLIFORMES
165,Pipile pipile,Pipile,Trinidad Piping-guan,9,#VALUE!,Piping-guan,CR,BL3,Cracidae,Guans and curassows,8,GALLIFORMES
166,Pipile cumanensis,Pipile,Blue-throated Piping-guan,14,#VALUE!,Piping-guan,LC,BL3,Cracidae,Guans and curassows,8,GALLIFORMES
167,Pipile cujubi,Pipile,Red-throated Piping-guan,13,#VALUE!,Piping-guan,LC,BL3,Cracidae,Guans and curassows,8,GALLIFORMES
168,Pipile jacutinga,Pipile,Black-fronted Piping-guan,14,#VALUE!,Piping-guan,EN,BL3,Cracidae,Guans and curassows,8,GALLIFORMES
169,Aburria aburri,Aburria,Wattled Guan,8,#VALUE!,Guan,NT,BL3,Cracidae,Guans and curassows,8,GALLIFORMES
170,Chamaepetes unicolor,Chamaepetes,Black Guan,6,#VALUE!,Guan,NT,BL3,Cracidae,Guans and curassows,8,GALLIFORMES
171,Chamaepetes goudotii,Chamaepetes,Sickle-winged Guan,14,#VALUE!,Guan,LC,BL3,Cracidae,Guans and curassows,8,GALLIFORMES
172,Penelopina nigra,Penelopina,Highland Guan,9,#VALUE!,Guan,VU,BL3,Cracidae,Guans and curassows,8,GALLIFORMES
173,Oreophasis derbianus,Oreophasis,Horned Guan,7,#VALUE!,Guan,EN,BL3,Cracidae,Guans and curassows,8,GALLIFORMES
174,Nothocrax urumutum,Nothocrax,Nocturnal Curassow,10,#VALUE!,Curassow,LC,BL3,Cracidae,Guans and curassows,8,GALLIFORMES
175,Mitu tomentosum,Mitu,Crestless Curassow,10,#VALUE!,Curassow,LC,BL3,Cracidae,Guans and curassows,8,GALLIFORMES
176,Mitu salvini,Mitu,Salvin's Curassow,9,#VALUE!,Curassow,LC,BL3,Cracidae,Guans and curassows,8,GALLIFORMES
177,Mitu tuberosum,Mitu,Razor-billed Curassow,13,#VALUE!,Curassow,LC,BL3,Cracidae,Guans and curassows,8,GALLIFORMES
178,Mitu mitu,Mitu,Alagoas Curassow,8,#VALUE!,Curassow,EW,BL3,Cracidae,Guans and curassows,8,GALLIFORMES
179,Pauxi pauxi,Pauxi,Helmeted Curassow,9,#VALUE!,Curassow,EN,BL3,Cracidae,Guans and curassows,8,GALLIFORMES
180,Pauxi unicornis,Pauxi,Horned Curassow,7,#VALUE!,Curassow,EN,BL3,Cracidae,Guans and curassows,8,GALLIFORMES
181,Crax rubra,Crax,Great Curassow,6,#VALUE!,Curassow,VU,BL3,Cracidae,Guans and curassows,8,GALLIFORMES
182,Crax alberti,Crax,Blue-billed Curassow,12,#VALUE!,Curassow,CR,BL3,Cracidae,Guans and curassows,8,GALLIFORMES
183,Crax daubentoni,Crax,Yellow-knobbed Curassow,15,#VALUE!,Curassow,NT,BL3,Cracidae,Guans and curassows,8,GALLIFORMES
184,Crax alector,Crax,Black Curassow,6,#VALUE!,Curassow,LC,BL3,Cracidae,Guans and curassows,8,GALLIFORMES
185,Crax globulosa,Crax,Wattled Curassow,8,#VALUE!,Curassow,EN,BL3,Cracidae,Guans and curassows,8,GALLIFORMES
186,Crax fasciolata,Crax,Bare-faced Curassow,11,#VALUE!,Curassow,LC,BL3,Cracidae,Guans and curassows,8,GALLIFORMES
